,title,genres,average_rating,domestic_gross,foreign_gross,year,total_gross
70,Jonah Hex,"Action,Drama,Fantasy",4.7,10500000.0,356000.0,2010,10856000.0
71,Hysteria,"Horror,Thriller",6.7,1800000.0,7700000.0,2012,9500000.0
72,Hysteria,"Comedy,Romance",6.7,1800000.0,7700000.0,2012,9500000.0
73,Hysteria,"Drama,Thriller",7.4,1800000.0,7700000.0,2012,9500000.0
74,Eddie the Eagle,"Biography,Comedy,Drama",7.4,15800000.0,30400000.0,2016,46200000.0
75,Shanghai,"Crime,Drama,Mystery",6.4,46400.0,9200000.0,2015,9246400.0
76,Shanghai,"Crime,Mystery,Thriller",7.2,46400.0,9200000.0,2015,9246400.0
77,The Quiet Ones,"Drama,Horror,Thriller",5.8,8500000.0,9300000.0,2014,17800000.0
78,The Quiet Ones,"Horror,Mystery,Thriller",5.1,8500000.0,9300000.0,2014,17800000.0
79,Foxcatcher,"Biography,Drama,Sport",7.0,12100000.0,18900000.0,2014,31000000.0
80,Eva,Drama,5.4,16700.0,18900000.0,2015,18916700.0
81,Eva,"Drama,Fantasy,Sci-Fi",6.7,16700.0,18900000.0,2015,18916700.0
82,Eva,"Drama,Romance",5.7,16700.0,18900000.0,2015,18916700.0
83,Eva,"Drama,Romance",4.6,16700.0,18900000.0,2015,18916700.0
84,Dirty Girl,"Comedy,Drama",6.5,55100.0,18900000.0,2011,18955100.0
85,Trance,Horror,4.6,2300000.0,21900000.0,2013,24200000.0
86,Trance,"Crime,Drama,Mystery",6.9,2300000.0,21900000.0,2013,24200000.0
87,Blue Valentine,"Drama,Romance",7.4,9700000.0,2600000.0,2010,12300000.0
88,Big Eyes,"Biography,Crime,Drama",7.0,14500000.0,14800000.0,2014,29300000.0
89,Big Eyes,Documentary,7.2,14500000.0,14800000.0,2014,29300000.0
90,2:22,Thriller,5.8,400.0,18900000.0,2017,18900400.0
91,Lay the Favorite,"Comedy,Drama,Romance",4.8,21000.0,1600000.0,2012,1621000.0
92,A Tale of Love and Darkness,"Biography,Drama,History",6.0,572000.0,18900000.0,2016,19472000.0
93,The Ghost Writer,"Drama,Mystery,Thriller",7.2,15500000.0,44700000.0,2010,60200000.0
94,Holy Rollers,"Biography,Crime,Drama",5.9,303000.0,305000.0,2010,608000.0
95,Freakonomics,Documentary,6.4,101000.0,16400.0,2010,117400.0
96,The Joneses,"Comedy,Drama",6.9,1500000.0,5500000.0,2010,7000000.0
97,The Joneses,"Biography,Documentary",5.9,1500000.0,5500000.0,2010,7000000.0
98,Cheerful Weather for the Wedding,"Comedy,Drama,Romance",5.6,2700.0,18900000.0,2012,18902700.0
99,Biutiful,"Drama,Romance",7.5,5100000.0,20000000.0,2011,25100000.0
100,22 Bullets,"Action,Crime,Drama",6.7,1400000.0,21300000.0,2013,22700000.0
101,Demolition,"Comedy,Drama",7.0,2000000.0,18900000.0,2016,20900000.0
102,The Company Men,Drama,6.8,4400000.0,441000.0,2011,4841000.0
103,The Myth of the American Sleepover,"Comedy,Drama,Romance",6.3,41000.0,18900000.0,2011,18941000.0
104,All Good Things,"Crime,Drama,Mystery",6.3,582000.0,62500.0,2010,644500.0
105,6 Souls,"Horror,Mystery,Thriller",6.1,1400000.0,852000.0,2013,2252000.0
106,Black Death,"Action,Adventure,Drama",6.4,22600.0,243000.0,2011,265600.0
107,Jack and the Cuckoo-Clock Heart,"Adventure,Animation,Drama",7.0,1400000.0,3400000.0,2014,4800000.0
108,You Will Meet a Tall Dark Stranger,"Comedy,Drama,Romance",6.3,3200000.0,31000000.0,2010,34200000.0
109,Marley,"Biography,Documentary,Music",8.0,1400000.0,18900000.0,2012,20300000.0
110,Welcome to the Rileys,Drama,7.0,159000.0,158000.0,2010,317000.0
111,Jai Ho,"Action,Drama",5.3,1300000.0,18900000.0,2014,20200000.0
112,Jai Ho,"Biography,Documentary,Music",7.6,1300000.0,18900000.0,2014,20200000.0
113,The Skin I Live In,"Drama,Horror,Thriller",7.6,3200000.0,27700000.0,2011,30900000.0
114,Casino Jack,"Biography,Comedy,Crime",6.2,1000000.0,40700.0,2010,1040700.0
115,Inhale,"Drama,Thriller",6.6,4100.0,51000.0,2010,55100.0
116,Charlie Countryman,"Comedy,Drama,Romance",6.4,11700.0,18900000.0,2013,18911700.0
117,One Chance,"Biography,Comedy,Drama",6.8,101000.0,10800000.0,2014,10901000.0
118,Kites,"Action,Drama,Romance",6.1,1600000.0,1300000.0,2010,2900000.0
119,You're Not You,Drama,7.4,11500.0,18900000.0,2014,18911500.0
120,Tyrannosaur,Drama,7.6,22300.0,18900000.0,2011,18922300.0
121,Out of the Furnace,"Crime,Drama,Thriller",6.8,11300000.0,4300000.0,2013,15600000.0
122,The Lost City of Z,"Adventure,Biography,Drama",6.6,8600000.0,10700000.0,2017,19300000.0
123,An Invisible Sign,"Comedy,Drama,Family",5.4,1300.0,18900000.0,2011,18901300.0
124,London Boulevard,"Crime,Drama",6.2,16100.0,4600000.0,2011,4616100.0
125,Seeking Justice,"Action,Crime,Drama",6.2,412000.0,11900000.0,2012,12312000.0
