,id,rating,director,year,box_office,genre
514,674,R,William Friedkin,2012,1800000,Comedy
523,685,R,Philip Seymour Hoffman,2010,300000,Comedy
524,686,PG-13,Stuart Beattie,2014,15687400,Horror
527,689,R,Paul Thomas Anderson,2015,6100613,Drama
545,714,R,Seth MacFarlane,2015,63883740,Comedy
546,715,R,Gary Fleder,2001,54218420,Drama
568,738,R,Nick Murphy,2012,175088,Art House and International
584,755,PG-13,Richard Donner,2003,19375474,Action and Adventure
585,756,R,Brad Furman,2016,15425870,Drama
597,771,PG-13,Jason Friedberg|Aaron Seltzer,2008,38200000,Comedy
599,773,R,Vincent Gallo,1998,2365931,Art House and International
603,779,R,Goran Dukic,2007,231512,Art House and International
605,782,R,Martin McDonagh,2017,52000189,Comedy
606,783,R,Sylvester Stallone,2010,102981571,Action and Adventure
611,788,R,Michael Showalter,2016,14443077,Drama
622,804,R,Barry Levinson,2015,1940202,Drama
624,806,R,Danny Leiner,2006,39712,Comedy
631,814,PG-13,Stephen Herek,2002,14400987,Comedy
632,815,R,Sam Mendes,2008,22877808,Drama
633,816,PG,Anthony Bell|Ben Gluck|Benjamin Gluck,2010,25077977,Action and Adventure
649,833,PG-13,Kyle Newman,2008,700000,Action and Adventure
657,841,PG-13,Steven Spielberg,2005,234141872,Action and Adventure
659,845,R,Werner Herzog,2009,1616556,Drama
660,846,PG-13,Tim Disney,2009,465786,Drama
662,848,R,Peter Webber,2007,27503677,Drama
664,850,R,Ang Lee,2016,1736708,Drama
670,858,R,Jed Weintrob,2003,25658,Drama
674,862,PG-13,Anthony Russo|Joe Russo,2006,75604320,Comedy
675,863,R,Harmony Korine,2013,13900000,Action and Adventure
683,873,R,Robert Pulcini|Shari Springer Berman,2010,453079,Comedy
690,883,PG-13,Jay Roach,2004,279167575,Comedy
691,884,R,Richard Rush,1974,8300,Action and Adventure
692,887,R,Charles Shyer,2004,13351235,Comedy
697,895,NR,Eric England,2013,3328,Drama
702,901,G,Jacques Cluzaud|Jacques Perrin,2010,19000000,Documentary
704,903,G,James Cameron,2003,16302332,Comedy
732,940,PG-13,Robert Schwentke,2005,89602378,Action and Adventure
740,952,R,Cyrus Nowrasteh,2009,519730,Drama
744,961,R,Roman Coppola,2002,301194,Comedy
747,964,NR,Jonathan Challis|Susan Crook|John Coffey|Ian Lynch,2012,104286,Documentary
752,970,R,Francis Veber,2001,4519967,Art House and International
755,973,R,Andrzej Bartkowiak,2005,28031250,Action and Adventure
758,976,R,Patty Jenkins,2004,34187787,Drama
762,981,R,Jesse Dylan,2001,31155435,Comedy
778,1006,R,Neil Jordan,2007,36800000,Action and Adventure
782,1011,R,Steven Quale,2011,42500000,Horror
784,1014,PG,Gary Winick,2010,53021560,Comedy
787,1017,PG-13,David Fincher,2008,127490802,Drama
804,1038,PG-13,Donald Petrie,2003,105765605,Comedy
807,1044,R,George Hickenlooper,2007,1566027,Drama
816,1055,R,Danis Tanovic,2001,948054,Art House and International
827,1071,R,Mel Gibson,2004,368000000,Drama
832,1077,PG-13,Steven Spielberg,1993,45299680,Action and Adventure
835,1080,PG-13,Maggie Greenwald,2001,1634064,Drama
838,1083,PG-13,Michel Hazanavicius,2011,44667095,Comedy
839,1084,R,Gia Coppola,2014,406235,Drama
845,1092,PG-13,Bryan Singer,2008,82989109,Drama
858,1108,R,Rob Schmidt,2003,15176515,Horror
860,1112,PG,Hirokazu Koreeda,2016,466986,Drama
861,1113,R,George Gallo,2010,723714,Comedy
868,1122,R,Lynn Shelton,2013,35966,Drama
877,1136,PG-13,Peter Jackson,2012,303001229,Action and Adventure
880,1140,R,Jeff Tremaine,2002,64209101,Comedy
882,1143,PG,Paul Feig,2004,252018,Drama
888,1149,PG,Alex Kendrick|Stephen Kendrick,2006,10127352,Drama
889,1150,PG-13,Trent Cooper,2006,15655665,Comedy
893,1155,PG-13,Matt Tynauer|Matt Tyrnauer,2009,1569618,Documentary
899,1162,R,Glenn Ficarra|John Requa,2016,18356529,Comedy
905,1169,PG-13,David Gelb,2015,20467547,Horror
913,1180,PG,Henry Selick|Tim Burton,1993,8616662,Animation
914,1182,PG,Kenny Ortega,2009,71844424,Documentary
915,1183,R,Sofia Coppola,2003,44566004,Comedy
927,1200,R,Andrew Dominik,2007,3900000,Action and Adventure
933,1210,PG-13,Gary David Goldberg,2005,43800000,Comedy
944,1223,PG-13,Peyton Reed,2006,118683135,Comedy
955,1236,R,Ewan McGregor,2016,541457,Drama
956,1237,PG-13,Douglas McGrath,2011,9500000,Comedy
958,1239,G,Frank Nissen,2005,18013938,Animation
961,1243,PG-13,Thomas Carter,2005,67169549,Drama
967,1256,R,Marc Forster,2005,3349167,Drama
970,1260,NR,Erik Gandini,2009,363,Documentary
972,1263,PG-13,Daniel Taplitz,2004,11827301,Comedy
974,1265,PG-13,Lawrence Kasdan,2012,793352,Comedy
977,1268,R,Jacob Aaron Estes,2012,63595,Comedy
