,title,genres,average_rating,domestic_gross,foreign_gross,year,total_gross
54,Unstoppable,Documentary,8.1,"$81,600,000.00","$86,200,000.00",2010,"$167,800,000.00"
55,Extremely Loud & Incredibly Close,"Adventure,Drama,Mystery",6.9,"$31,800,000.00","$23,400,000.00",2011,"$55,200,000.00"
56,The Tree of Life,"Drama,Fantasy",6.8,"$13,300,000.00","$41,000,000.00",2011,"$54,300,000.00"
57,Ant-Man,"Action,Adventure,Comedy",7.3,"$180,200,000.00","$339,100,000.00",2015,"$519,300,000.00"
58,Season of the Witch,"Action,Adventure,Fantasy",5.4,"$24,800,000.00","$66,800,000.00",2011,"$91,600,000.00"
59,The Losers,"Action,Adventure,Crime",6.4,"$23,600,000.00","$5,800,000.00",2010,"$29,400,000.00"
60,The Losers,Drama,1.7,"$23,600,000.00","$5,800,000.00",2010,"$29,400,000.00"
61,Hall Pass,"Comedy,Romance",5.9,"$45,100,000.00","$38,100,000.00",2011,"$83,200,000.00"
62,The Croods,"Action,Adventure,Animation",7.2,"$187,200,000.00","$400,000,000.00",2013,"$587,200,000.00"
63,Red Tails,"Action,Adventure,Drama",5.9,"$49,900,000.00","$489,000.00",2012,"$50,389,000.00"
64,Something Borrowed,"Comedy,Drama,Romance",5.9,"$39,000,000.00","$21,100,000.00",2011,"$60,100,000.00"
65,Suburbicon,"Comedy,Crime,Drama",5.6,"$5,800,000.00","$18,700,000.00",2017,"$24,500,000.00"
66,Tulip Fever,"Drama,History,Romance",6.2,"$2,500,000.00","$5,900,000.00",2017,"$8,400,000.00"
67,Furry Vengeance,"Comedy,Family",3.8,"$17,600,000.00","$18,600,000.00",2010,"$36,200,000.00"
68,Ramona and Beezus,"Adventure,Comedy,Family",6.6,"$26,200,000.00","$1,100,000.00",2010,"$27,300,000.00"
69,The Hero of Color City,"Animation,Family",4.0,"$32,200.00","$18,700,000.00",2014,"$18,732,200.00"
70,Rings,"Drama,Horror,Mystery",4.5,"$27,800,000.00","$55,300,000.00",2017,"$83,100,000.00"
71,A Thousand Words,"Comedy,Drama",5.9,"$18,500,000.00","$3,600,000.00",2012,"$22,100,000.00"
72,What's Your Number?,"Comedy,Romance",6.1,"$14,000,000.00","$16,399,999.00",2011,"$30,399,999.00"
73,Samsara,"Documentary,Music",8.5,"$2,700,000.00","$18,700,000.00",2012,"$21,400,000.00"
74,Man of Steel,"Action,Adventure,Sci-Fi",7.1,"$291,000,000.00","$377,000,000.00",2013,"$668,000,000.00"
75,The Wolfman,"Drama,Fantasy,Horror",5.8,"$62,000,000.00","$77,800,000.00",2010,"$139,800,000.00"
76,The Boxtrolls,"Adventure,Animation,Comedy",6.8,"$50,800,000.00","$58,400,000.00",2014,"$109,200,000.00"
77,The Man Who Knew Infinity,"Biography,Drama",7.2,"$3,900,000.00","$8,400,000.00",2016,"$12,300,000.00"
78,The Incredible Burt Wonderstone,"Adventure,Comedy,Fantasy",5.9,"$22,500,000.00","$4,900,000.00",2013,"$27,400,000.00"
79,Dallas Buyers Club,"Biography,Drama",8.0,"$27,300,000.00","$27,900,000.00",2013,"$55,200,000.00"
80,The First Grader,"Biography,Drama,Romance",7.5,"$332,000.00","$382,000.00",2011,"$714,000.00"
81,Jack Reacher,"Action,Crime,Thriller",7.0,"$80,100,000.00","$138,300,000.00",2012,"$218,400,000.00"
82,R.I.P.D.,"Action,Adventure,Comedy",5.6,"$33,600,000.00","$44,700,000.00",2013,"$78,300,000.00"
83,Miles Ahead,"Biography,Drama,Music",6.4,"$2,600,000.00","$850,000.00",2016,"$3,450,000.00"
84,Scary Movie 5,Comedy,3.5,"$32,000,000.00","$46,400,000.00",2013,"$78,400,000.00"
85,The Guardians,"Comedy,Family",7.8,"$177,000.00","$18,700,000.00",2018,"$18,877,000.00"
86,The Guardians,"Drama,War",6.8,"$177,000.00","$18,700,000.00",2018,"$18,877,000.00"
87,The Guardians,"Action,Adventure,Comedy",4.1,"$177,000.00","$18,700,000.00",2018,"$18,877,000.00"
88,Thor,"Action,Adventure,Fantasy",7.0,"$181,000,000.00","$268,300,000.00",2011,"$449,300,000.00"
89,Warcraft,"Action,Adventure,Fantasy",6.9,"$47,400,000.00","$386,300,000.00",2016,"$433,700,000.00"
90,It's Kind of a Funny Story,"Comedy,Drama,Romance",7.1,"$6,400,000.00","$128,000.00",2010,"$6,528,000.00"
91,The Mule,"Comedy,Drama",6.2,"$103,800,000.00","$68,700,000.00",2018,"$172,500,000.00"
92,The Mule,"Comedy,Crime,Drama",6.3,"$103,800,000.00","$68,700,000.00",2018,"$172,500,000.00"
93,The Mule,"Crime,Drama,Thriller",7.1,"$103,800,000.00","$68,700,000.00",2018,"$172,500,000.00"
94,Tooth Fairy,"Comedy,Family,Fantasy",5.0,"$60,000,000.00","$52,400,000.00",2010,"$112,400,000.00"
95,Tooth Fairy,Horror,2.6,"$60,000,000.00","$52,400,000.00",2010,"$112,400,000.00"
96,The Danish Girl,"Biography,Drama,Romance",7.1,"$11,100,000.00","$53,100,000.00",2015,"$64,200,000.00"
