,id,rating,director,theater_date,box_office,studio,genre
818,1060,PG,Michael Schultz,1987,20900803,Universal Pictures,Comedy
819,1061,NR,Mostofa Sarwar Farooki,1987,20900803,Universal Pictures,Comedy
820,1062,NR,Richard Thorpe,1937,20900803,Universal Pictures,Classics
821,1064,NR,Maurice Pialat,1987,20900803,Universal Pictures,Art House and International
822,1065,PG,Steven Spielberg,1995,20900803,Universal Pictures,Action and Adventure
823,1066,NR,Ben Ferris,1987,20900803,Universal Pictures,Art House and International
824,1067,R,Luca Guadagnino,2018,20900803,Universal Pictures,Drama
825,1069,NR,Ramin Serry,2002,20900803,Streetlight Films,Drama
826,1070,R,Nathan Hope,2009,20900803,Universal Pictures,Drama
827,1071,R,Mel Gibson,2004,368000000,Newmarket Film Group,Drama
828,1072,NR,Steven Spielberg,1987,20900803,Universal Pictures,Drama
829,1074,NR,Craig Brewer,1987,20900803,Universal Pictures,Drama
830,1075,NR,Anatole Litvak,1962,20900803,Universal Pictures,Art House and International
831,1076,NR,Mark Hopkins,2010,20900803,Truly Indie/BEV Pictures,Documentary
832,1077,PG-13,Steven Spielberg,1993,45299680,Universal Pictures,Action and Adventure
833,1078,R,Andrew Davis,1988,20900803,Universal Pictures,Action and Adventure
834,1079,R,Greg Marcks,2003,20900803,Universal Pictures,Comedy
835,1080,PG-13,Maggie Greenwald,2001,1634064,Lions Gate,Drama
836,1081,R,Steven Spielberg,2010,600000,Newmarket Films,Action and Adventure
837,1082,PG,John Frankenheimer,1966,20900803,Universal Pictures,Classics
838,1083,PG-13,Michel Hazanavicius,2011,44667095,The Weinstein Company,Comedy
839,1084,R,Gia Coppola,2014,406235,Tribeca Film,Drama
840,1085,NR,Bertrand Tavernier,1999,20900803,Universal Pictures,Art House and International
841,1086,PG,Steven Spielberg,1980,20900803,Universal Pictures,Science Fiction and Fantasy
842,1089,R,Gus Van Sant,1994,20900803,Universal Pictures,Comedy
843,1090,R,Steven Spielberg,1975,20900803,Universal Pictures,Classics
844,1091,PG-13,Roger Donaldson,2000,20900803,New Line Cinema,Drama
845,1092,PG-13,Bryan Singer,2008,82989109,MGM,Drama
846,1093,R,Elia Kazan,1956,20900803,Universal Pictures,Classics
847,1094,PG,Tom Mankiewicz,1991,20900803,Universal Pictures,Comedy
848,1095,R,Kevin Smith,1995,20900803,Universal Pictures,Comedy
849,1096,R,Harry Hook,1989,20900803,Universal Pictures,Action and Adventure
850,1097,NR,Steven Spielberg,1957,20900803,Universal Pictures,Classics
851,1099,NR,Charles Vidor,1987,20900803,Universal Pictures,Classics
852,1100,NR,Mano Khalil,1987,20900803,Universal Pictures,Documentary
853,1101,PG,George Lucas,1973,20900803,Universal Pictures,Comedy
854,1102,PG,George Stevens,1959,20900803,Universal Pictures,Classics
855,1103,PG,Nick Park,2018,20900803,Lionsgate,Animation
856,1104,PG,Don Siegel,1973,20900803,Universal Pictures,Action and Adventure
